2025-08-07 12:41:46 | SCM-Data-Clean | INFO | Successfully Created Season column.

2025-08-07 12:41:46 | SCM-Data-Clean | INFO | Creating FY Column..........
2025-08-07 12:41:47 | SCM-Data-Clean | INFO | Successfully Created FY Column

2025-08-07 12:41:47 | SCM-Data-Clean | INFO | Creating State Columns.......
2025-08-07 12:41:47 | SCM-Data-Clean | INFO | Successfully Created State Columns

2025-08-07 12:41:47 | SCM-Data-Clean | INFO | Mapping Dealership to District Column....... 
2025-08-07 12:41:47 | SCM-Data-Clean | INFO | Number of rows where district is not found:7573
2025-08-07 12:41:47 | SCM-Data-Clean | INFO | Filtering Mahalaabh and Gr. from the data.....
2025-08-07 12:41:47 | SCM-Data-Clean | INFO | Number of rows after filtering:(33093, 15)

2025-08-07 12:41:47 | SCM-Data-Clean | INFO | Converting Kg to MT.....
2025-08-07 12:41:47 | SCM-Data-Clean | INFO | Sucessfully Converted Kg to MT

2025-08-07 12:41:47 | SCM-Data-Clean | INFO | Required Columns.......
2025-08-07 12:41:47 | SCM-Data-Clean | INFO | Sucessfully Created MH,TN,CG,GJ varaible
2025-08-07 12:41:47 | SCM-Data-Clean | INFO | ---- Step Completed ----

2025-08-07 12:41:47 | SCM-Data-Clean | INFO | Creating CSV for data.......
2025-08-07 12:41:47 | SCM-Data-Clean | INFO | Successfully created CSV files.

2025-08-07 14:08:56 | SCM-Data-Clean | INFO | Creating Clean Product Column.......
2025-08-07 14:08:57 | SCM-Data-Clean | INFO | Sucessfully Created Product Column.

2025-08-07 14:08:57 | SCM-Data-Clean | INFO | Dropping NA value in Product Columns.......
2025-08-07 14:08:57 | SCM-Data-Clean | INFO | Number of rows removed: 4944

2025-08-07 14:08:57 | SCM-Data-Clean | INFO | Converting Billing Date to datetime format.......
2025-08-07 14:08:57 | SCM-Data-Clean | INFO | Creating Month Column......
2025-08-07 14:08:57 | SCM-Data-Clean | INFO | successfully Created Month Column.

2025-08-07 14:08:57 | SCM-Data-Clean | INFO | Creating Season Column.......
2025-08-07 14:08:57 | SCM-Data-Clean | INFO | Successfully Created Season column.

2025-08-07 14:08:57 | SCM-Data-Clean | INFO | Creating FY Column..........
2025-08-07 14:08:57 | SCM-Data-Clean | INFO | Successfully Created FY Column

2025-08-07 14:08:57 | SCM-Data-Clean | INFO | Creating State Columns.......
2025-08-07 14:08:57 | SCM-Data-Clean | INFO | Successfully Created State Columns

2025-08-07 14:08:57 | SCM-Data-Clean | INFO | Mapping Dealership to District Column....... 
2025-08-07 14:08:57 | SCM-Data-Clean | INFO | Number of rows where district is not found:7573
2025-08-07 14:08:57 | SCM-Data-Clean | INFO | Filtering Mahalaabh and Gr. from the data.....
2025-08-07 14:08:58 | SCM-Data-Clean | INFO | Number of rows after filtering:(33093, 15)

2025-08-07 14:08:58 | SCM-Data-Clean | INFO | Converting Kg to MT.....
2025-08-07 14:08:58 | SCM-Data-Clean | INFO | Sucessfully Converted Kg to MT

2025-08-07 14:08:58 | SCM-Data-Clean | INFO | Required Columns.......
2025-08-07 14:08:58 | SCM-Data-Clean | INFO | Sucessfully Created MH,TN,CG,GJ varaible
2025-08-07 14:08:58 | SCM-Data-Clean | INFO | ---- Step Completed ----

2025-08-07 14:08:58 | SCM-Data-Clean | INFO | Creating CSV for data.......
2025-08-07 14:08:58 | SCM-Data-Clean | INFO | Successfully created CSV files.

2025-08-07 14:18:29 | SCM-Data-Clean | INFO | Creating Clean Product Column.......
2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Sucessfully Created Product Column.

2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Dropping NA value in Product Columns.......
2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Number of rows removed: 4944

2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Converting Billing Date to datetime format.......
2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Creating Month Column......
2025-08-07 14:18:30 | SCM-Data-Clean | INFO | successfully Created Month Column.

2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Creating Season Column.......
2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Successfully Created Season column.

2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Creating FY Column..........
2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Successfully Created FY Column

2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Creating State Columns.......
2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Successfully Created State Columns

2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Mapping Dealership to District Column....... 
2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Number of rows where district is not found:7573
2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Filtering Mahalaabh and Gr. from the data.....
2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Number of rows after filtering:(33093, 15)

2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Converting Kg to MT.....
2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Sucessfully Converted Kg to MT

2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Required Columns.......
2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Sucessfully Created MH,TN,CG,GJ varaible
2025-08-07 14:18:30 | SCM-Data-Clean | INFO | ---- Step Completed ----

2025-08-07 14:18:30 | SCM-Data-Clean | INFO | Creating CSV for data.......
2025-08-07 14:18:31 | SCM-Data-Clean | INFO | Successfully created CSV files.

2025-08-07 14:55:14 | SCM-Data-Clean | INFO | Creating Clean Product Column.......
2025-08-07 14:55:14 | SCM-Data-Clean | INFO | Sucessfully Created Product Column.

2025-08-07 14:55:14 | SCM-Data-Clean | INFO | Dropping NA value in Product Columns.......
2025-08-07 14:55:14 | SCM-Data-Clean | INFO | Number of rows removed: 4944

2025-08-07 14:55:14 | SCM-Data-Clean | INFO | Converting Billing Date to datetime format.......
2025-08-07 14:55:14 | SCM-Data-Clean | INFO | Creating Month Column......
2025-08-07 14:55:14 | SCM-Data-Clean | INFO | successfully Created Month Column.

2025-08-07 14:55:14 | SCM-Data-Clean | INFO | Creating Season Column.......
2025-08-07 14:55:14 | SCM-Data-Clean | INFO | Successfully Created Season column.

2025-08-07 14:55:14 | SCM-Data-Clean | INFO | Creating FY Column..........
2025-08-07 14:55:15 | SCM-Data-Clean | INFO | Successfully Created FY Column

2025-08-07 14:55:15 | SCM-Data-Clean | INFO | Creating State Columns.......
2025-08-07 14:55:15 | SCM-Data-Clean | INFO | Successfully Created State Columns

2025-08-07 14:55:15 | SCM-Data-Clean | INFO | Mapping Dealership to District Column....... 
2025-08-07 14:55:15 | SCM-Data-Clean | INFO | Number of rows where district is not found:7573
2025-08-07 14:55:15 | SCM-Data-Clean | INFO | Filtering Mahalaabh and Gr. from the data.....
2025-08-07 14:55:15 | SCM-Data-Clean | INFO | Number of rows after filtering:(33093, 15)

2025-08-07 14:55:15 | SCM-Data-Clean | INFO | Converting Kg to MT.....
2025-08-07 14:55:15 | SCM-Data-Clean | INFO | Sucessfully Converted Kg to MT

2025-08-07 14:55:15 | SCM-Data-Clean | INFO | Required Columns.......
2025-08-07 14:55:15 | SCM-Data-Clean | INFO | Sucessfully Created MH,TN,CG,GJ varaible
2025-08-07 14:55:15 | SCM-Data-Clean | INFO | ---- Step Completed ----

2025-08-07 14:55:15 | SCM-Data-Clean | INFO | Creating CSV for data.......
2025-08-07 14:55:15 | SCM-Data-Clean | INFO | Successfully created CSV files.

2025-08-07 14:56:49 | SCM-Data-Clean | INFO | Creating Clean Product Column.......
2025-08-07 14:56:49 | SCM-Data-Clean | INFO | Sucessfully Created Product Column.

2025-08-07 14:56:49 | SCM-Data-Clean | INFO | Dropping NA value in Product Columns.......
2025-08-07 14:56:49 | SCM-Data-Clean | INFO | Number of rows removed: 4944

2025-08-07 14:56:49 | SCM-Data-Clean | INFO | Converting Billing Date to datetime format.......
2025-08-07 14:56:49 | SCM-Data-Clean | INFO | Creating Month Column......
2025-08-07 14:56:50 | SCM-Data-Clean | INFO | successfully Created Month Column.

2025-08-07 14:56:50 | SCM-Data-Clean | INFO | Creating Season Column.......
2025-08-07 14:56:50 | SCM-Data-Clean | INFO | Successfully Created Season column.

2025-08-07 14:56:50 | SCM-Data-Clean | INFO | Creating FY Column..........
2025-08-07 14:56:50 | SCM-Data-Clean | INFO | Successfully Created FY Column

2025-08-07 14:56:50 | SCM-Data-Clean | INFO | Creating State Columns.......
2025-08-07 14:56:50 | SCM-Data-Clean | INFO | Successfully Created State Columns

2025-08-07 14:56:50 | SCM-Data-Clean | INFO | Mapping Dealership to District Column....... 
2025-08-07 14:56:50 | SCM-Data-Clean | INFO | Number of rows where district is not found:7573
2025-08-07 14:56:50 | SCM-Data-Clean | INFO | Filtering Mahalaabh and Gr. from the data.....
