2025-08-06 15:27:10 | Load_data_set_files | INFO | Columns are already Present in the Data.

2025-08-06 15:27:10 | Load_data_set_files | INFO | Load Data Set Completed

2025-08-06 15:35:56 | Load_data_set_files | INFO | Loading Dataset.........
2025-08-06 15:36:03 | Load_data_set_files | INFO | Dataset completly loaded 

2025-08-06 15:36:03 | Load_data_set_files | INFO | Formating Column in order in both df

2025-08-06 15:36:03 | Load_data_set_files | INFO | Staring Concating two df's........
2025-08-06 15:36:03 | Load_data_set_files | INFO | successfully Concated df's

2025-08-06 15:36:03 | Load_data_set_files | INFO | Number of row in data:58820

2025-08-06 15:36:03 | Load_data_set_files | INFO | Number of rows Affected 0

2025-08-06 15:36:03 | Load_data_set_files | INFO | Columns are already Present in the Data.

2025-08-06 15:36:03 | Load_data_set_files | INFO | Load Data Set Completed

2025-08-06 16:29:25 | Load_data_set_files | INFO | Loading Dataset.........
2025-08-06 16:29:29 | Load_data_set_files | INFO | Dataset completly loaded 

2025-08-06 16:29:29 | Load_data_set_files | INFO | Formating Column in order in both df

2025-08-06 16:29:29 | Load_data_set_files | INFO | Staring Concating two df's........
2025-08-06 16:29:29 | Load_data_set_files | INFO | successfully Concated df's

2025-08-06 16:29:29 | Load_data_set_files | INFO | Number of row in data:58820

2025-08-06 16:29:29 | Load_data_set_files | INFO | Number of rows Affected 0

2025-08-06 16:29:29 | Load_data_set_files | INFO | Columns are already Present in the Data.

2025-08-06 16:29:29 | Load_data_set_files | INFO | Load Data Set Completed

2025-08-06 16:32:56 | Load_data_set_files | INFO | Loading Dataset.........
2025-08-06 16:32:59 | Load_data_set_files | INFO | Dataset completly loaded 

2025-08-06 16:32:59 | Load_data_set_files | INFO | Formating Column in order in both df

2025-08-06 16:32:59 | Load_data_set_files | INFO | Staring Concating two df's........
2025-08-06 16:32:59 | Load_data_set_files | INFO | successfully Concated df's

2025-08-06 16:32:59 | Load_data_set_files | INFO | Number of row in data:58820

2025-08-06 16:32:59 | Load_data_set_files | INFO | Number of rows Affected 0

2025-08-06 16:32:59 | Load_data_set_files | INFO | Columns are already Present in the Data.

2025-08-06 16:32:59 | Load_data_set_files | INFO | Load Data Set Completed

2025-08-06 16:33:55 | Load_data_set_files | INFO | Loading Dataset.........
2025-08-06 16:33:58 | Load_data_set_files | INFO | Dataset completly loaded 

2025-08-06 16:33:58 | Load_data_set_files | INFO | Formating Column in order in both df

2025-08-06 16:33:58 | Load_data_set_files | INFO | Staring Concating two df's........
2025-08-06 16:33:58 | Load_data_set_files | INFO | successfully Concated df's

2025-08-06 16:33:58 | Load_data_set_files | INFO | Number of row in data:58820

2025-08-06 16:33:58 | Load_data_set_files | INFO | Number of rows Affected 0

2025-08-06 16:33:58 | Load_data_set_files | INFO | Columns are already Present in the Data.

2025-08-06 16:33:58 | Load_data_set_files | INFO | Load Data Set Completed

2025-08-06 16:36:00 | Load_data_set_files | INFO | Loading Dataset.........
2025-08-06 16:36:04 | Load_data_set_files | INFO | Dataset completly loaded 

2025-08-06 16:36:04 | Load_data_set_files | INFO | Formating Column in order in both df

2025-08-06 16:36:04 | Load_data_set_files | INFO | Staring Concating two df's........
2025-08-06 16:36:04 | Load_data_set_files | INFO | successfully Concated df's

2025-08-06 16:36:04 | Load_data_set_files | INFO | Number of row in data:58820

2025-08-06 16:36:04 | Load_data_set_files | INFO | Number of rows Affected 0

2025-08-06 16:36:04 | Load_data_set_files | INFO | Columns are already Present in the Data.

2025-08-06 16:36:04 | Load_data_set_files | INFO | Load Data Set Completed

2025-08-06 16:37:01 | Load_data_set_files | INFO | Loading Dataset.........
2025-08-06 16:37:04 | Load_data_set_files | INFO | Dataset completly loaded 

2025-08-06 16:37:04 | Load_data_set_files | INFO | Formating Column in order in both df

2025-08-06 16:37:04 | Load_data_set_files | INFO | Staring Concating two df's........
2025-08-06 16:37:04 | Load_data_set_files | INFO | successfully Concated df's

2025-08-06 16:37:04 | Load_data_set_files | INFO | Number of row in data:58820

2025-08-06 16:37:04 | Load_data_set_files | INFO | Number of rows Affected 0

2025-08-06 16:37:04 | Load_data_set_files | INFO | Columns are already Present in the Data.

2025-08-06 16:37:04 | Load_data_set_files | INFO | Load Data Set Completed

2025-08-06 16:37:59 | Load_data_set_files | INFO | Loading Dataset.........
2025-08-06 16:38:02 | Load_data_set_files | INFO | Dataset completly loaded 

2025-08-06 16:38:02 | Load_data_set_files | INFO | Formating Column in order in both df

2025-08-06 16:38:03 | Load_data_set_files | INFO | Staring Concating two df's........
2025-08-06 16:38:03 | Load_data_set_files | INFO | successfully Concated df's

2025-08-06 16:38:03 | Load_data_set_files | INFO | Number of row in data:58820

2025-08-06 16:38:03 | Load_data_set_files | INFO | Number of rows Affected 0

2025-08-06 16:38:03 | Load_data_set_files | INFO | Columns are already Present in the Data.

